City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,haiku-pauwela,20.9219,-156.3051,25.23,77,40,6.69,US,1698027100
84,kununurra,-15.7667,128.7333,35.99,28,0,3.6,AU,1698027101
85,yangambi,0.8102,24.4336,20.91,99,79,0.53,CD,1698027101
86,puerto natales,-51.7236,-72.4875,3.8,93,24,1.4,CL,1698027102
87,tiksi,71.6872,128.8694,-11.62,96,100,2.21,RU,1698027102
88,port alfred,-33.5906,26.891,14.97,69,11,7.6,ZA,1698027102
89,flensburg,54.7833,9.4333,8.43,93,48,4.63,DE,1698027103
90,saint-joseph,-21.3667,55.6167,20.07,78,0,3.26,RE,1698027104
91,mwene-ditu,-7.0,23.45,19.24,93,85,1.05,CD,1698027104
92,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,61,75,4.0,RU,1698027105
93,bam,29.106,58.357,21.24,33,0,1.51,IR,1698027105
94,stanley,54.868,-1.6985,-0.82,100,0,1.03,GB,1698026851
95,hammerfest,70.6634,23.6821,-0.75,74,40,1.54,NO,1698027105
96,blackmans bay,-43.0167,147.3167,17.51,68,95,4.82,AU,1698027106
97,nsunga,-1.1439,31.3947,17.48,91,37,1.21,TZ,1698027107
98,kodiak,57.79,-152.4072,4.73,56,0,5.66,US,1698027107
99,bulawayo,-20.15,28.5833,18.58,76,62,5.23,ZW,1698027107
100,bethanie,-26.4833,17.15,17.84,36,0,1.2,NA,1698027108
101,nadi,-17.8,177.4167,30.0,66,75,6.69,FJ,1698027108
102,summerlin south,36.1027,-115.3811,23.44,22,0,5.6,US,1698027108
103,siwa oasis,29.2041,25.5195,21.5,62,0,2.76,EG,1698027109
104,sept-iles,50.2001,-66.3821,6.11,64,100,4.12,CA,1698027109
105,kill devil hills,36.0307,-75.676,16.2,68,0,2.06,US,1698026916
106,obihiro,42.9172,143.2044,12.23,43,75,2.57,JP,1698027110
107,sredneuralsk,56.9892,60.4666,-1.41,75,99,5.11,RU,1698027110
108,arraias,-12.9288,-46.9437,23.93,65,23,1.65,BR,1698027110
109,vilyuysk,63.7553,121.6247,-1.99,93,100,0.87,RU,1698027111
110,margaret river,-33.95,115.0667,14.64,51,99,4.68,AU,1698027111
111,vlore,40.4667,19.4897,21.44,77,91,1.7,AL,1698027112
112,iskateley,67.6803,53.1512,-1.1,91,100,7.36,RU,1698027112
113,sittwe,20.15,92.9,25.89,83,71,3.31,MM,1698027113
114,torbat-e heydariyeh,35.274,59.2195,14.04,40,81,2.2,IR,1698027113
115,wynyard,-41.0,145.7167,17.58,57,25,4.89,AU,1698027075
116,varangaon,21.0167,75.9,23.07,53,33,2.07,IN,1698027114
117,manta,-0.95,-80.7333,24.88,83,75,5.66,EC,1698027114
118,college,64.8569,-147.8028,-4.99,90,100,2.06,US,1698026828
119,sorong,-0.8833,131.25,28.48,77,16,4.8,ID,1698026991
120,susuman,62.7833,148.1667,-11.13,92,84,0.91,RU,1698027115
121,atherton,53.5237,-2.4935,7.37,94,99,1.92,GB,1698027116
122,rio grande,-32.035,-52.0986,18.3,96,100,4.26,BR,1698027116
123,bandarbeyla,9.4942,50.8122,26.76,82,97,3.78,SO,1698027116
124,kinablangan,7.6947,126.5503,29.45,69,91,2.15,PH,1698027117
125,qaqortoq,60.7167,-46.0333,1.34,64,100,1.18,GL,1698027117
126,flying fish cove,-10.4217,105.6791,27.82,74,44,4.63,CX,1698027118
127,floro,61.5996,5.0328,8.98,66,100,3.09,NO,1698026819
128,albany,42.6001,-73.9662,5.56,76,100,1.34,US,1698027071
129,cannonvale,-20.2833,148.7,25.66,58,0,3.84,AU,1698027124
130,belmonte,-15.8631,-38.8828,23.34,85,87,4.62,BR,1698027131
131,salmon arm,50.6998,-119.3024,6.62,87,0,0.0,CA,1698027132
132,uturoa,-16.7333,-151.4333,26.97,79,21,6.44,PF,1698027132
133,onguday,50.75,86.15,8.37,79,75,3.11,RU,1698027133
134,darnah,32.767,22.6367,23.96,51,57,5.46,LY,1698027134
135,dergachi,51.2328,48.7659,4.99,56,100,3.72,RU,1698027134
